id	movie_id	movie_name	user_id	ctime	message
8789	7021	Синистер 2	36670	2015-08-20 12:02:49.678395+03	Из фильма сделали конвейер. Уже не страшно, одинаковые пугалки, как и в первой части 
8787	7066	Агенты А.Н.К.Л.	4108	2015-08-20 08:00:20.916523+03	Неплохой фильм 
8781	7284	Иррациональный человек	61689	2015-08-19 21:48:39.61616+03	Черный юморок))
8780	7066	Агенты А.Н.К.Л.	49878	2015-08-19 21:03:48.888712+03	Рекомендую ;) Гай Ричи всё так же прекрасен!
8777	6855	Мир Юрского периода	32343	2015-08-19 19:16:04.393844+03	Прикольный
8776	7280	Левша	32343	2015-08-19 19:15:45.388297+03	Неочень, перемудрили
8770	7056	Подарок	67207	2015-08-19 02:11:51.337868+03	😑 Честно, чуть не уснула (! А ожидания были велики!!!
8769	7066	Агенты А.Н.К.Л.	8356	2015-08-19 00:24:32.9206+03	Гай Риччи как всегда великолепен!
8768	7066	Агенты А.Н.К.Л.	66646	2015-08-19 00:09:37.652754+03	можно сходить и посмеяться
8763	7066	Агенты А.Н.К.Л.	33871	2015-08-18 21:59:20.796617+03	Лёгкий фильм, смотрится приятно
8752	7041	Человек-муравей	67113	2015-08-17 23:39:32.754856+03	Хороший фильм.
8751	7284	Иррациональный человек	14839	2015-08-17 23:01:48.18352+03	типичный Вуди!
8748	7066	Агенты А.Н.К.Л.	67100	2015-08-17 21:24:47.892741+03	Реклама, конечно, интереснее самого фильма, хотя он, несомненно, очень неплох.
8738	7066	Агенты А.Н.К.Л.	67071	2015-08-16 23:15:44.201982+03	Великолепный, как и все фильмы этого режиссера.
